Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Engel S., Pagiola S., Wunder S.","8670489200;6603659235;7003871913;","Designing payments for environmental services in theory and practice: An overview of the issues",2008,"Ecological Economics","65","4",,"663","674",,1374,"10.1016/j.ecolecon.2008.03.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-43049159538&doi=10.1016%2fj.ecolecon.2008.03.011&partnerID=40&md5=a9b98dae44187fef2ca1cd8fc7e924a8","Institute for Environmental Decisions, ETH Zürich, Universitatstrasse 22, CHN K 76.3, CH-8092 Zürich, Switzerland; Environment Department, World Bank, 1818 H St. NW, Washington, DC 20433, United States; Center for International Forestry Research (CIFOR), Embrapa Amazônia Oriental, Trav. Enéas Pinheiro s/n, CEP 66.095-780, Belem, Pará, Brazil","Engel, S., Institute for Environmental Decisions, ETH Zürich, Universitatstrasse 22, CHN K 76.3, CH-8092 Zürich, Switzerland; Pagiola, S., Environment Department, World Bank, 1818 H St. NW, Washington, DC 20433, United States; Wunder, S., Center for International Forestry Research (CIFOR), Embrapa Amazônia Oriental, Trav. Enéas Pinheiro s/n, CEP 66.095-780, Belem, Pará, Brazil","Payments for environmental services (PES) have attracted increasing interest as a mechanism to translate external, non-market values of the environment into real financial incentives for local actors to provide environmental services (ES). In this introductory paper, we set the stage for the rest of this Special Issue of Ecological Economics by reviewing the main issues arising in PES design and implementation and discussing these in the light of environmental economics. We start with a discussion of PES definition and scope. We proceed to review some of the principal dimensions and design characteristics of PES programs and then analyze how PES compares to alternative policy instruments. Finally, we examine in detail two important aspects of PES programs: their effectiveness and their distributional implications. PES is not a silver bullet that can be used to address any environmental problem, but a tool tailored to address a specific set of problems: those in which ecosystems are mismanaged because many of their benefits are externalities from the perspective of ecosystem managers. PES is based on the beneficiary-pays rather than the polluter-pays principle, and as such is attractive in settings where ES providers are poor, marginalized landholders or powerful groups of actors. An important distinction within PES is between user-financed PES in which the buyers are the users of the ES, and government-financed PES in which the buyers are others (typically the government) acting on behalf of ES users. In practice, PES programs differ in the type and scale of ES demand, the payment source, the type of activity paid for, the performance measure used, as well as the payment mode and amount. The effectiveness and efficiency of PES depends crucially on program design. © 2008.","Conservation; Ecosystem services; Incentive mechanisms; Payments for environmental services","conservation; ecological economics; ecosystem service; environmental economics; incentive",Article,"Final","",Scopus,2-s2.0-43049159538
"Wunder S., Engel S., Pagiola S.","7003871913;8670489200;6603659235;","Taking stock: A comparative analysis of payments for environmental services programs in developed and developing countries",2008,"Ecological Economics","65","4",,"834","852",,734,"10.1016/j.ecolecon.2008.03.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-43049168772&doi=10.1016%2fj.ecolecon.2008.03.010&partnerID=40&md5=901d1e2fe4225a28dd66a139aaeaf949","Center for International Forestry Research (CIFOR), Embrapa Amazônia Oriental, Trav. Enéas Pinheiro s/n, CEP 66.095-780, Belem, Pará, Brazil; Institute for Environmental Decisions, ETH Zürich, Universitatstrasse 22, CHN K 76.3, CH-8092 Zürich, Switzerland; Environment Department, World Bank, 1818 H St. NW, Washington, DC 20433, United States","Wunder, S., Center for International Forestry Research (CIFOR), Embrapa Amazônia Oriental, Trav. Enéas Pinheiro s/n, CEP 66.095-780, Belem, Pará, Brazil; Engel, S., Institute for Environmental Decisions, ETH Zürich, Universitatstrasse 22, CHN K 76.3, CH-8092 Zürich, Switzerland; Pagiola, S., Environment Department, World Bank, 1818 H St. NW, Washington, DC 20433, United States","Payments for environmental services (PES) are an innovative approach to conservation that has been applied increasingly often in both developed and developing countries. To date, however, few efforts have been made to systematically compare PES experiences. Drawing on the wealth of case studies in this Special Issue, we synthesize the information presented, according to case characteristics with respect to design, costs, environmental effectiveness, and other outcomes. PES programs often differ substantially one from the other. Some of the differences reflect adaptation of the basic concept to very different ecological, socioeconomic, or institutional conditions; others reflect poor design, due either to mistakes or to the need to accommodate political pressures. We find significant differences between user-financed PES programs, in which funding comes from the users of the ES being provided, and government-financed programs, in which funding comes from a third party. The user-financed programs in our sample were better targeted, more closely tailored to local conditions and needs, had better monitoring and a greater willingness to enforce conditionality, and had far fewer confounding side objectives than government-financed programs. We finish by outlining some perspectives on how both user- and government-financed PES programs could be made more effective and cost-efficient. © 2008 Elsevier B.V. All rights reserved.","Conservation; Ecosystem services; Incentive mechanisms; Payments for environmental services","comparative study; conservation; cost-benefit analysis; developing world; ecosystem service; incentive; socioeconomic conditions; stock assessment",Article,"Final","",Scopus,2-s2.0-43049168772
"Muradian R., Corbera E., Pascual U., Kosoy N., May P.H.","6701521437;6504679561;8318429700;16022376900;7202957093;","Reconciling theory and practice: An alternative conceptual framework for understanding payments for environmental services",2010,"Ecological Economics","69","6",,"1202","1208",,641,"10.1016/j.ecolecon.2009.11.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950313763&doi=10.1016%2fj.ecolecon.2009.11.006&partnerID=40&md5=23ea0e83e20b20afc68d530a4d0a1887","Centre for International Development Issues (CIDIN), Radboud University of Nijmegen, Netherlands; School of International Development, University of East Anglia, Norwich, United Kingdom; Tyndall Centre for Climate Change Research, Zuckerman Institute for Environmental Connective Research, University of East Anglia, Norwich, United Kingdom; Department of Land Economy, University of Cambridge, United Kingdom; Ecosystem Service Economic Unit, Division of Environmental Policy Implementation, United Nations Environment Programme, Kenya; Department of Development, Agriculture and Society, Federal Rural University of Rio de Janeiro, Rio de Janeiro, Brazil","Muradian, R., Centre for International Development Issues (CIDIN), Radboud University of Nijmegen, Netherlands; Corbera, E., School of International Development, University of East Anglia, Norwich, United Kingdom, Tyndall Centre for Climate Change Research, Zuckerman Institute for Environmental Connective Research, University of East Anglia, Norwich, United Kingdom; Pascual, U., Department of Land Economy, University of Cambridge, United Kingdom; Kosoy, N., Ecosystem Service Economic Unit, Division of Environmental Policy Implementation, United Nations Environment Programme, Kenya; May, P.H., Department of Development, Agriculture and Society, Federal Rural University of Rio de Janeiro, Rio de Janeiro, Brazil","This article provides an alternative and novel theoretical approach to the conceptualization and analysis of payments for environmental services (PES). We devote special emphasis to institutional and political economy issues, which have been somewhat neglected in the literature on PES. We argue that the Coasean and pure market approach dominating the conceptualization of PES in the literature cannot be easily generalized and implemented in practice. By contrast, taking into account complexities related to uncertainty, distributional issues, social embeddedness, and power relations permits acknowledging the variety of contexts and institutional settings in which PES operate. The alternative approach presented in this introductory article to the special section may be more appealing to PES practitioners, since while avoiding restrictive and prescriptive standpoints, it allows some key sources of complexities they usually deal with on the ground to be more easily understood. © 2009 Elsevier B.V. All rights reserved.","Institutions; Payment for environmental services; Political economy; Power relations; Social embeddedness","conceptual framework; ecosystem service; environmental economics; incentive; institutional framework; political economy; power relations",Article,"Final","",Scopus,2-s2.0-77950313763
"Wunder S.","7003871913;","Revisiting the concept of payments for environmental services",2015,"Ecological Economics","117",,,"234","243",,323,"10.1016/j.ecolecon.2014.08.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937471311&doi=10.1016%2fj.ecolecon.2014.08.016&partnerID=40&md5=6bf38eaa4a98e955ade0d44d7608ce5c","Center for International Forestry Research (CIFOR), Rio de Janeiro, Brazil","Wunder, S., Center for International Forestry Research (CIFOR), Rio de Janeiro, Brazil","This article revisits the payments for environmental services (PES) concept and reviews existing PES definitions. Based on Weberian philosophy of science, it is argued that an ideal PES type, strongly embedded in PES theory, is needed to understand their logic. Many broader, empiricist definitions fail to distinguish PES from the larger generic family of positive environmental incentives, thus eroding their meaning by excessive vagueness. Arguably, PES definitions should focus on describing a functional tool, rather than normatively integrating desirable PES outcomes. A modified narrow PES definition is proposed, outlining conditionality as the single defining feature, avoiding the buyer-seller terms, and linking PES to offsite externalities. Extensive explanatory guidelines address many valid conceptual concerns raised in the recent PES literature. © 2014 Elsevier B.V..","Conservation; Definition; Incentives; Max Weber; Natural resource management","conservation management; ecological economics; ecosystem service; environmental economics; incentive; natural resource; resource management; willingness to pay",Article,"Final","",Scopus,2-s2.0-84937471311
"Muradian R., Arsel M., Pellegrini L., Adaman F., Aguilar B., Agarwal B., Corbera E., Ezzine de Blas D., Farley J., Froger G., Garcia-Frapolli E., Gómez-Baggethun E., Gowdy J., Kosoy N., Le Coq J.F., Leroy P., May P., Méral P., Mibielli P., Norgaard R., Ozkaynak B., Pascual U., Pengue W., Perez M., Pesche D., Pirard R., Ramos-Martin J., Rival L., Saenz F., Van Hecken G., Vatn A., Vira B., Urama K.","6701521437;25623005200;7005803760;6602720025;23987088000;57204258714;6504679561;56236924300;7202145487;6506141989;56002650600;24175588700;7005707658;16022376900;6506521192;7103200758;7202957093;55882736400;56610815300;6701461746;7801351017;8318429700;6506390829;57212615983;55823400200;16242428600;6507288718;6603248973;57192372951;36345069000;6603395174;6505901586;8282941300;","Payments for ecosystem services and the fatal attraction of win-win solutions",2013,"Conservation Letters","6","4",,"274","279",,320,"10.1111/j.1755-263X.2012.00309.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881650140&doi=10.1111%2fj.1755-263X.2012.00309.x&partnerID=40&md5=1012131ceb136a4b19860cb28cf7490e","Radboud University Nijmegen, Netherlands; ISS, Erasmus University of Rotterdam, Netherlands; Boǧaziçi University, Turkey; Fundación Neotrópica, Costa Rica; University of Manchester, United Kingdom; Universitat Autònoma de Barcelona, Spain; CIRAD, France; University of Vermont, United States; Université de Versailles Saint-Quentin-en-Yvelines, France; UNAM, Mexico; Universidad Autónoma de Madrid, Spain; Rensselaer Polytechnic Institute, United States; McGill University, Canada; Universidad Nacional de Costa Rica, Costa Rica; Universidade Federal Rural do Rio de Janeiro, Brazil; Institut de Recherche pour le Développement, France; Universidade Estácio de Sá, Brazil; University of California, Berkeley, United States; University of Cambridge, United Kingdom; Basque Centre for Climate Change and Ikerbasque Foundation for Science, Spain; Universidad de General Sarmiento, Argentina; Universidad del Valle, Colombia; IDDRI, France; University of Oxford, United Kingdom; Universiteit van Antwerpen, Belgium; Norwegian University of Life Sciences, Norway; African Technology Policy Studies Network, Kenya","Muradian, R., Radboud University Nijmegen, Netherlands; Arsel, M., ISS, Erasmus University of Rotterdam, Netherlands; Pellegrini, L., ISS, Erasmus University of Rotterdam, Netherlands; Adaman, F., Boǧaziçi University, Turkey; Aguilar, B., Fundación Neotrópica, Costa Rica; Agarwal, B., University of Manchester, United Kingdom; Corbera, E., Universitat Autònoma de Barcelona, Spain; Ezzine de Blas, D., CIRAD, France; Farley, J., University of Vermont, United States; Froger, G., Université de Versailles Saint-Quentin-en-Yvelines, France; Garcia-Frapolli, E., UNAM, Mexico; Gómez-Baggethun, E., Universitat Autònoma de Barcelona, Spain, Universidad Autónoma de Madrid, Spain; Gowdy, J., Rensselaer Polytechnic Institute, United States; Kosoy, N., McGill University, Canada; Le Coq, J.F., CIRAD, France, Universidad Nacional de Costa Rica, Costa Rica; Leroy, P., Radboud University Nijmegen, Netherlands; May, P., Universidade Federal Rural do Rio de Janeiro, Brazil; Méral, P., Institut de Recherche pour le Développement, France; Mibielli, P., Universidade Estácio de Sá, Brazil; Norgaard, R., University of California, Berkeley, United States; Ozkaynak, B., Boǧaziçi University, Turkey; Pascual, U., University of Cambridge, United Kingdom, Basque Centre for Climate Change and Ikerbasque Foundation for Science, Spain; Pengue, W., Universidad de General Sarmiento, Argentina; Perez, M., Universidad del Valle, Colombia; Pesche, D., CIRAD, France; Pirard, R., IDDRI, France; Ramos-Martin, J., Universitat Autònoma de Barcelona, Spain; Rival, L., University of Oxford, United Kingdom; Saenz, F., Universidade Federal Rural do Rio de Janeiro, Brazil; Van Hecken, G., Universiteit van Antwerpen, Belgium; Vatn, A., Norwegian University of Life Sciences, Norway; Vira, B., University of Cambridge, United Kingdom; Urama, K., African Technology Policy Studies Network, Kenya","In this commentary we critically discuss the suitability of payments for ecosystem services and the most important challenges they face. While such instruments can play a role in improving environmental governance, we argue that over-reliance on payments as win-win solutions might lead to ineffective outcomes, similar to earlier experience with integrated conservation and development projects. Our objective is to raise awareness, particularly among policy makers and practitioners, about the limitations of such instruments and to encourage a dialogue about the policy contexts in which they might be appropriate. © 2013 Wiley Periodicals, Inc.","Ecosystem services; Enviromental governace; Integrated conservation and development projects; Market-based policy tools; Payments for ecosystem services",,Article,"Final","",Scopus,2-s2.0-84881650140
"Wunder S.","7003871913;","Payments for environmental services and the poor: Concepts and preliminary evidence",2008,"Environment and Development Economics","13","3",,"279","297",,294,"10.1017/S1355770X08004282","https://www.scopus.com/inward/record.uri?eid=2-s2.0-43049177016&doi=10.1017%2fS1355770X08004282&partnerID=40&md5=f119df63d2168f6f5760c8c72bb27197","Center for International Forestry Research (CIFOR), Embrapa Amazônia Oriental - Convêenio CIFOR, Trav. Dr. Enéas Pinheiro s/n, Belém, PA 66095-100, Brazil","Wunder, S., Center for International Forestry Research (CIFOR), Embrapa Amazônia Oriental - Convêenio CIFOR, Trav. Dr. Enéas Pinheiro s/n, Belém, PA 66095-100, Brazil","Based on observations from all three tropical continents, there is good reason to believe that poor service providers can broadly gain access to payment for environmental services (PES) schemes, and generally become better off from that participation, in both income and non-income terms. However, poverty effects need to be analysed in a conceptual framework looking not only at poor service providers, but also at poor service users and non-participants. Effects on service users are positive if environmental goals are achieved, while those on non-participants can be positive or negative. The various participation filters of a PES scheme contain both pro-poor and anti-poor selection biases. Quantitative welfare effects are bound to remain small-scale, compared to national poverty-alleviation goals. Some pro-poor interventions are possible, but increasing regulations excessively could curb PES efficiency and implementation scale, which could eventually harm the poor. Prime focus of PES should thus remain on the environment, not on poverty. © 2008 Cambridge University Press 2008.",,,Article,"Final","",Scopus,2-s2.0-43049177016
"Wünscher T., Engel S., Wunder S.","7801660160;8670489200;7003871913;","Spatial targeting of payments for environmental services: A tool for boosting conservation benefits",2008,"Ecological Economics","65","4",,"822","833",,274,"10.1016/j.ecolecon.2007.11.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-43049168928&doi=10.1016%2fj.ecolecon.2007.11.014&partnerID=40&md5=17ceee3416d56efbd98c4ff9216fe3f7","Center for Development Research (ZEF B), Walter-Flex-Str. 3, 53113 Bonn, Germany; Institute for Environmental Decisions, ETH Zurich, Universitatstrasse 22, CHN K 76.3, CH-8092 Zurich, Switzerland; Centre for International Forestry Research (CIFOR), Embrapa Amazônia Oriental, Trav. Enéas Pinheiro s/n, CEP 66.095 - 80, Belem - Pará, Brazil","Wünscher, T., Center for Development Research (ZEF B), Walter-Flex-Str. 3, 53113 Bonn, Germany; Engel, S., Institute for Environmental Decisions, ETH Zurich, Universitatstrasse 22, CHN K 76.3, CH-8092 Zurich, Switzerland; Wunder, S., Centre for International Forestry Research (CIFOR), Embrapa Amazônia Oriental, Trav. Enéas Pinheiro s/n, CEP 66.095 - 80, Belem - Pará, Brazil","Payments for environmental services (PES) have become an increasingly popular market-based instrument to translate external, non-market environmental services into financial incentives for landowners to preserve the ecosystems that provide the services. However, lack of spatial differentiation in the targeting mechanism may lead to efficiency losses. Addressing this challenge, we construct an applied site selection tool, which takes into account three variables that vary in space: environmental services provided, risks of losing those services, and participation costs. Using data from Costa Rica's Nicoya Peninsula, we empirically test the tool's potential to increase the financial efficiency of the forest-focused PES program in place. Results show that, given a fixed budget, efficiency increases radically if per hectare payments are aligned to landowners' heterogeneity in participation costs, involving opportunity, transaction and direct costs of protection, respectively. Selecting sites based on environmental service potential also moderately increases efficiency. Overall additionality could in the best case be doubled, but remains generally limited due to current low deforestation risks prevailing in Costa Rica. To take advantage of the high efficiency potentials of flexible payments, we propose inverse auction systems as a cost-effective approach for the determination of micro-level participation costs. © 2007 Elsevier B.V. All rights reserved.","Conservation; Costa Rica; Environmental Services; Spatial Analysis; Targeting","conservation; cost-benefit analysis; deforestation; ecosystem service; environmental management; landowner; spatial analysis; Central America; Costa Rica; Nicoya Peninsula",Article,"Final","",Scopus,2-s2.0-43049168928
"Banks-Leite C., Pardini R., Tambosi L.R., Pearse W.D., Bueno A.A., Bruscagin R.T., Condez T.H., Dixo M., Igari A.T., Martensen A.C., Metzger J.P.","24831903200;8579728300;26647097800;31367600000;35983986100;56038180000;33567455500;6504293891;26646604500;24483329600;56462138300;","Using ecological thresholds to evaluate the costs and benefits of set-asides in a biodiversity hotspot",2014,"Science","345","6200",,"1041","1045",,244,"10.1126/science.1255768","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907202511&doi=10.1126%2fscience.1255768&partnerID=40&md5=83fe7978cb9129a91a80c331ae67b8fa","Ecosystem and Environment, Department of Life Sciences, Imperial College London, Silwood Park Campus, Ascot, SL5 7PY, United Kingdom; Departamento de Ecologia, Instituto de Biociências, Universidade de São Paulo, São Paulo, SP, 05508-090, Brazil; Departamento de Zoologia, Instituto de Biociências, Universidade de São Paulo, São Paulo, SP, 05508-090, Brazil; Department of Ecology, Evolution, and Behavior, University of Minnesota, St. Paul, MN  55108, United States; Fundação Florestal, Rua do Horto 931, São Paulo, SP, 02377-000, Brazil; Departamento de Zoologia, Instituto de Biociências, Universidade Estadual Paulista, Rio-Claro, SP, 13506-900, Brazil; Curso de Gestão Ambiental, Escola de Artes, Ciências e Humanidades, Universidade de São Paulo, São Paulo, SP, 03828-000, Brazil; Department of Ecology and Evolutionary Biology, University of Toronto, Toronto, ON  M5S 3B2, Canada","Banks-Leite, C., Ecosystem and Environment, Department of Life Sciences, Imperial College London, Silwood Park Campus, Ascot, SL5 7PY, United Kingdom, Departamento de Ecologia, Instituto de Biociências, Universidade de São Paulo, São Paulo, SP, 05508-090, Brazil; Pardini, R., Departamento de Zoologia, Instituto de Biociências, Universidade de São Paulo, São Paulo, SP, 05508-090, Brazil; Tambosi, L.R., Departamento de Ecologia, Instituto de Biociências, Universidade de São Paulo, São Paulo, SP, 05508-090, Brazil; Pearse, W.D., Department of Ecology, Evolution, and Behavior, University of Minnesota, St. Paul, MN  55108, United States; Bueno, A.A., Fundação Florestal, Rua do Horto 931, São Paulo, SP, 02377-000, Brazil; Bruscagin, R.T., Departamento de Ecologia, Instituto de Biociências, Universidade de São Paulo, São Paulo, SP, 05508-090, Brazil; Condez, T.H., Departamento de Zoologia, Instituto de Biociências, Universidade Estadual Paulista, Rio-Claro, SP, 13506-900, Brazil; Dixo, M., Departamento de Ecologia, Instituto de Biociências, Universidade de São Paulo, São Paulo, SP, 05508-090, Brazil; Igari, A.T., Curso de Gestão Ambiental, Escola de Artes, Ciências e Humanidades, Universidade de São Paulo, São Paulo, SP, 03828-000, Brazil; Martensen, A.C., Department of Ecology and Evolutionary Biology, University of Toronto, Toronto, ON  M5S 3B2, Canada; Metzger, J.P., Departamento de Ecologia, Instituto de Biociências, Universidade de São Paulo, São Paulo, SP, 05508-090, Brazil","Ecological set-asides are a promising strategy for conserving biodiversity in human-modified landscapes; however, landowner participation is often precluded by financial constraints. We assessed the ecological benefits and economic costs of paying landowners to set aside private land for restoration. Benefits were calculated from data on nearly 25,000 captures of Brazilian Atlantic Forest vertebrates, and economic costs were estimated for several restoration scenarios and values of payment for ecosystem services. We show that an annual investment equivalent to 6.5% of what Brazil spends on agricultural subsidies would revert species composition and ecological functions across farmlands to levels found inside protected areas, thereby benefiting local people. Hence, efforts to secure the future of this and other biodiversity hotspots may be cost-effective. © 2014 SCIENCE.",,"agriculture; animal; article; biodiversity; Brazil; classification; cost benefit analysis; economics; environmental protection; human; organization and management; phylogeny; tree; vertebrate; Agriculture; Animals; Biodiversity; Brazil; Conservation of Natural Resources; Cost-Benefit Analysis; Humans; Ownership; Phylogeny; Trees; Vertebrates",Article,"Final","",Scopus,2-s2.0-84907202511
"Lambin E.F., Meyfroidt P., Rueda X., Blackman A., Börner J., Cerutti P.O., Dietsch T., Jungmann L., Lamarque P., Lister J., Walker N.F., Wunder S.","7006191947;23482376500;35604390000;7004294360;23033270300;25225195300;6602317660;56507197900;36774489600;36190861800;55830151100;7003871913;","Effectiveness and synergies of policy instruments for land use governance in tropical regions",2014,"Global Environmental Change","28","1",,"129","140",,232,"10.1016/j.gloenvcha.2014.06.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908614963&doi=10.1016%2fj.gloenvcha.2014.06.007&partnerID=40&md5=960455dbf70425073e652b181ab59dfc","Georges Lemaître Centre for Earth and Climate Research, Earth and Life Institute, Université catholique de Louvain, Place Louis Pasteur 3, Louvain-la-Neuve, 1348, Belgium; School of Earth Sciences and Woods Institute, Stanford University, 473 Via Ortega, Stanford, CA  94305, United States; F.R.S-FNRS, Belgium; School of Management, Universidad de los Andes, Carrera 1 No. 18A-12, Bogotá, Colombia; Resources for the Future, 1616 P Street, NW, Washington, DC  20036, United States; Center for Development Research, University of Bonn and Center for International Forestry Research (CIFOR), Walter-Flex-Str. 3, Bonn, 53113, Germany; Center for International Forestry Research (CIFOR), United Nations Avenue, Gigiri, P.O. Box 30677, Nairobi, 00100, Kenya; U.S. Fish and Wildlife Service, 6010 Hidden Valley Road, Carlsbad, CA  92011, United States; WWF - Netherlands, Driebergseweg 10, Zeist, 3708JB, Netherlands; Liu Institute for Global Issues, University of British Columbia, 6476 NW Marine Drive, Vancouver, BC  V6T1Z2, Canada; National Wildlife Federation, National Advocacy Center, 901 E Street, NW, Suite 400, Washington, DC  20004, United States; Global Canopy Programme, 23 Park End Street, Oxford, OX1 1HU, United Kingdom; Center for International Forestry Research (CIFOR), Rua do Russel, 450/sala 601 Glória, Rio de Janeiro, RJ, CEP 22.210-010, Brazil","Lambin, E.F., Georges Lemaître Centre for Earth and Climate Research, Earth and Life Institute, Université catholique de Louvain, Place Louis Pasteur 3, Louvain-la-Neuve, 1348, Belgium, School of Earth Sciences and Woods Institute, Stanford University, 473 Via Ortega, Stanford, CA  94305, United States; Meyfroidt, P., Georges Lemaître Centre for Earth and Climate Research, Earth and Life Institute, Université catholique de Louvain, Place Louis Pasteur 3, Louvain-la-Neuve, 1348, Belgium, F.R.S-FNRS, Belgium; Rueda, X., School of Earth Sciences and Woods Institute, Stanford University, 473 Via Ortega, Stanford, CA  94305, United States, School of Management, Universidad de los Andes, Carrera 1 No. 18A-12, Bogotá, Colombia; Blackman, A., Resources for the Future, 1616 P Street, NW, Washington, DC  20036, United States; Börner, J., Center for Development Research, University of Bonn and Center for International Forestry Research (CIFOR), Walter-Flex-Str. 3, Bonn, 53113, Germany; Cerutti, P.O., Center for International Forestry Research (CIFOR), United Nations Avenue, Gigiri, P.O. Box 30677, Nairobi, 00100, Kenya; Dietsch, T., U.S. Fish and Wildlife Service, 6010 Hidden Valley Road, Carlsbad, CA  92011, United States; Jungmann, L., WWF - Netherlands, Driebergseweg 10, Zeist, 3708JB, Netherlands; Lamarque, P., Georges Lemaître Centre for Earth and Climate Research, Earth and Life Institute, Université catholique de Louvain, Place Louis Pasteur 3, Louvain-la-Neuve, 1348, Belgium; Lister, J., Liu Institute for Global Issues, University of British Columbia, 6476 NW Marine Drive, Vancouver, BC  V6T1Z2, Canada; Walker, N.F., National Wildlife Federation, National Advocacy Center, 901 E Street, NW, Suite 400, Washington, DC  20004, United States, Global Canopy Programme, 23 Park End Street, Oxford, OX1 1HU, United Kingdom; Wunder, S., Center for International Forestry Research (CIFOR), Rua do Russel, 450/sala 601 Glória, Rio de Janeiro, RJ, CEP 22.210-010, Brazil","Land use is regulated through various mixes of command-and-control interventions that directly affect land use via land use restrictions, and other public interventions that indirectly affect land use via agricultural, forestry, trade or macro-economic policies. More recently, coalitions of public and private actors have designed market-based and/or demand-led policy instruments to influence land use-e.g., eco-certification, geographical indications, commodity roundtables, moratoria, and payments for environmental services. These innovative instruments fall along a continuum of state involvement and interact with traditional public forms of land use regulation, leading to ""hybrid"" interventions. This article reviews emerging evidence on the effectiveness of the main instruments used to promote sustainable land use, and explores interactions between the new demand-led interventions and formal regulatory public policies. Although there are still insufficient rigorous studies evaluating the effectiveness of hybrid instruments, available evidence suggests some positive direct and indirect benefits. Hybrid instruments combine elements from both private and public regulatory systems, in innovative and effective ways. We propose a typology to characterize potential interactions between instruments that regulate land use. It links various types of interactions-i.e., complementarity, substitution, and antagonism-to the various stages of regulatory processes-i.e., agenda setting, implementation, and monitoring and enforcement. We give examples of governments endorsing certifications or using certification to support their own policies; governments creating enabling conditions for hybrid instruments to mature, allowing for wider adoption; and private instruments reinforcing public regulations or substituting for missing or weak governance. In some cases, governments, NGOs and corporations compete and may hinder each other's actions. With favourable institutional and governance contexts, well-designed hybrid public-private instruments can be effective. More systematic evaluation could boost the effectiveness of instruments and enhance synergistic interaction with traditional public land-use policy instruments to achieve incremental benefits as well as longer-term transformative outcomes in land-use protection. © 2014 Elsevier Ltd.","Certification; Commodity roundtables; Deforestation; Geographical indication; Payment for environmental services; Protected area","certification; environmental policy; land use change; land use planning; sustainability; synergism; tropical region; commodity; deforestation; demand analysis; economic instrument; ecosystem service; environmental indicator; geographical distribution; governance approach; nongovernmental organization; policy strategy; private sector; protected area; public sector; regulatory approach; valuation; willingness to pay",Article,"Final","",Scopus,2-s2.0-84908614963
"Asquith N.M., Vargas M.T., Wunder S.","6603054564;56549512100;7003871913;","Selling two environmental services: In-kind payments for bird habitat and watershed protection in Los Negros, Bolivia",2008,"Ecological Economics","65","4",,"675","684",,208,"10.1016/j.ecolecon.2007.12.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-43049162153&doi=10.1016%2fj.ecolecon.2007.12.014&partnerID=40&md5=52b37c4b67eaac25668ff3fcebad91ff","Fundación Natura Bolivia, Av. Irala 421, Santa Cruz, Bolivia; CIFOR, Convênio Embrapa-CIFOR, Trav. Enéas Pinheiro s/n, CEP 66.095-100, Belém, Brazil","Asquith, N.M., Fundación Natura Bolivia, Av. Irala 421, Santa Cruz, Bolivia; Vargas, M.T., Fundación Natura Bolivia, Av. Irala 421, Santa Cruz, Bolivia; Wunder, S., CIFOR, Convênio Embrapa-CIFOR, Trav. Enéas Pinheiro s/n, CEP 66.095-100, Belém, Brazil","Marketing several environmental services from a single area can help access diverse sources of funding and make conservation a more competitive land use. In Bolivia's Los Negros valley (Department of Santa Cruz), bordering the Amboró National Park, 46 farmers are currently paid to protect 2774 ha of a watershed containing the threatened cloud-forest habitat of 11 species of migratory birds. In this payment for environmental services (PES) scheme, annual contracts prohibit tree cutting, hunting and forest clearing on enrolled lands. Farmer-landowners as service providers submit to independent yearly monitoring, and are sanctioned for non-compliance. Facilitated by a local NGO, Fundación Natura Bolivia, one service buyer is an international conservation donor (the US Fish and Wildlife Service) interested in biodiversity conservation. The second service users are downstream irrigators who likely benefit from stabilized dry-season water flows if upstream cloud forests are successfully protected. Individual irrigators have been reluctant to pay, but the Los Negros municipal government has on their behalf contributed ~ US$4500 to the scheme. The negotiated payment mode is annual quid pro quo in-kind compensations in return for forest protection. Predominantly, payments are made as ""contingent project implementation"", transferring beehives supplemented by apicultural training. With regard to service provision, environment committees and education programs have increased awareness in downstream communities of the probable water-supply reduction effect of continued upstream deforestation. External donors have funded subsequent studies providing basic economic, hydrological and biodiversity data, and covered PES start-up (~ US$40,000) and running transaction costs (~ US$3000 per year over the last three years). The greatest challenges in the development of the PES mechanism have been the slow process of building trust between service buyers and providers, and in achieving clear service-provision additionality. © 2007 Elsevier B.V. All rights reserved.","Biodiversity; Bolivia; Conservation; Payments for environmental services; Watershed protection","biodiversity; bird; conservation; deforestation; environmental protection; land use; migratory species; watershed; Amboro National Park; Bolivia; Los Negros Valley; Santa Cruz [Bolivia]; South America; Aves",Article,"Final","",Scopus,2-s2.0-43049162153
