Scopus-175-Analyze-Affiliation;;;;;;
;;;;;;
"Your query : (( TITLE-ABS-KEY ( ""payment for environmental service"" ) OR TITLE-ABS-KEY ( ""payment for ecosystem service"" ) ) AND PUBYEAR > 2005 AND PUBYEAR < 2022 AND ( LIMIT-TO ( AFFILCOUNTRY,""Brazil"" ) )  AND ( LIMIT-TO ( DOCTYPE,""ar"" ) ) )";;;;;;
;;;;;;
;;;;;;
Number of results : 175;;;;;;
;;;;;;
AFFILIATION,;;;;;;
"Universidade de São Paulo,""39""";;Universidade de São Paulo ;39;;;
"Empresa Brasileira de Pesquisa Agropecuária - Embrapa,""21""";;Empresa Brasileira de Pesquisa Agropecuária - Embrapa;25;;;
"Universidade Estadual Paulista Júlio de Mesquita Filho,""16""";;Center for International Forestry Research CIFOR;16;;;
"Universidade Federal do Rio de Janeiro,""10""";;Universidade Estadual Paulista Júlio de Mesquita Filho;16;;;
"Zentrum für Entwicklungsforschung,""10""";;Universidade Estadual de Campinas ;10;;;
"Universidade Estadual de Campinas,""10""";;Universidade Federal do Rio de Janeiro ;10;;;
"Universität Bonn,""7""";;Universidade Federal de Lavras ;8;;;
"Universidade Federal de Vicosa,""7""";;Universidade Federal de Vicosa ;7;;;
"University of East Anglia,""6""";;Universidade de Bonn;10;2;Zentrum für Entwicklungsforschung ;Verificado 
"Universidade Federal de Mato Grosso do Sul,""6""";;Universidade de Lancaster;6;;;
"Lancaster University,""6""";;Universidade Federal de Mato Grosso do Sul ;6;;;
"ETH Zürich,""6""";;Universidade Federal de Minas Gerais ;6;;;
"Universidade Federal de Minas Gerais,""6""";;Universidade da Ânglia Oriental;6;;;
"Center for International Forestry Research, West Java,""6""";;Instituto Federal de Tecnologia de Zurique;6;;;
"Instituto Nacional de Pesquisas Espaciais,""5""";;"CIRAD Centre de Recherche de Montpellier,""3""";5;;;
"Universidade Federal de São Carlos,""5""";;"Instituto Nacional de Pesquisas Espaciais,""5""";5;;;
